10:21:17:769, Thread-7: Waitress is LIVE
10:21:17:769, Thread-8: Waitress is LIVE
10:21:17:770, Thread-9: Door is LIVE
10:21:17:813, Thread-9: Door made new customer 48a8518b-6881-4ba1-b1d2-6a6cfed7274c
10:21:17:814, Thread-9: Customer 48a8518b-6881-4ba1-b1d2-6a6cfed7274c is now waiting
10:21:17:920, Thread-9: Door made new customer 47d6a4ce-0f0e-421b-b475-623fe20a0385
10:21:17:929, Thread-9: Customer 47d6a4ce-0f0e-421b-b475-623fe20a0385 is now waiting
10:21:18:36, Thread-9: Door made new customer 086f75e0-8297-425a-a07e-49f1a1913bb9
10:21:18:45, Thread-9: Customer 086f75e0-8297-425a-a07e-49f1a1913bb9 is now waiting
10:21:18:152, Thread-9: Door made new customer 8d737aff-7172-43d0-be13-82ecfd729850
10:21:18:162, Thread-9: Customer 8d737aff-7172-43d0-be13-82ecfd729850 is now waiting
10:21:18:268, Thread-9: Door made new customer e7286478-1c0e-4651-ad54-74f95274b019
10:21:18:278, Thread-9: Customer e7286478-1c0e-4651-ad54-74f95274b019 is now waiting
10:21:18:383, Thread-9: Door made new customer b196bc9b-afb7-44b6-b85f-72f69dd5036b
10:21:18:392, Thread-9: Customer b196bc9b-afb7-44b6-b85f-72f69dd5036b is now waiting
10:21:18:499, Thread-9: Door made new customer 7191c418-ba4b-4a48-af28-c7ce2c9bdfc2
10:21:18:508, Thread-9: Customer 7191c418-ba4b-4a48-af28-c7ce2c9bdfc2 is now waiting
10:21:18:611, Thread-9: Door made new customer d6a759dd-363c-480e-8f1d-aac686f7591b
10:21:18:620, Thread-9: Customer d6a759dd-363c-480e-8f1d-aac686f7591b is now waiting
10:21:18:724, Thread-9: Door made new customer 286c9a11-5549-4ba1-b0b5-7d3c8a0dd0e0
10:21:18:733, Thread-9: Customer 286c9a11-5549-4ba1-b0b5-7d3c8a0dd0e0 is now waiting
10:21:18:836, Thread-9: Door made new customer 23c6dbe2-b6e9-449f-b93c-91eb4d72f109
10:21:18:845, Thread-9: Customer 23c6dbe2-b6e9-449f-b93c-91eb4d72f109 is now waiting
10:21:18:946, Thread-9: Door made new customer b4ec1229-4350-44c3-8421-902e95ca45b0
10:21:18:956, Thread-9: Customer b4ec1229-4350-44c3-8421-902e95ca45b0 is now waiting
10:21:19:62, Thread-9: Door made new customer c5618f55-2238-4e38-9520-236c0a196622
10:21:19:71, Thread-9: Customer c5618f55-2238-4e38-9520-236c0a196622 is now waiting
10:21:19:172, Thread-9: Door made new customer 82790257-a622-4fd3-ab85-a8e25a67074d
